text,priority
wifi not working since 3 days,High
internet down cannot attend online classes,High
no electricity since last night,High
electric shock from socket in room,High
short circuit in hostel corridor,High
food poisoning from mess food,High
insects found in food,High
cockroaches in mess kitchen,High
students falling sick due to mess food,High
rats seen in mess kitchen,High
marks not updated for 2 months,High
professor not responding to emails for weeks,High
paper evaluated unfairly affecting gpa badly,High
internal marks wrong and gpa is dropping,High
assignment submitted but marks not given for months,High
scholarship not processed for 3 months,High
no response from admin office since weeks,High
bonafide certificate not issued urgent,High
water leakage flooding entire room,High
pipe burst in hostel bathroom,High
sewage overflow near hostel,High
ceiling collapsed in classroom,High
staircase railing broken very dangerous,High
no water supply for 2 days,High
wiring exposed in corridor very dangerous,High
sparking sounds from electrical panel,High
generator not working during power cut,High
ups failure causing loss of exam work,High
power fluctuation damaging laptops,High
emergency lights not working,High
wifi down for past one week,High
unable to attend any online lectures,High
cannot submit assignments due to no internet,High
internet outage affecting entire hostel,High
no network since 4 days,High
mess food causing stomach problems,High
stale food served in mess,High
expired products used in cooking,High
dirty utensils in mess causing illness,High
no drinking water available in hostel,High
exam result not published,High
unfair evaluation in final exam,High
attendance wrongly marked failing me,High
wrong grades entered affecting semester,High
faculty absent for entire month,High
fee not refunded after course cancellation,High
caution deposit not returned,High
harassment by college security,High
anti ragging complaint not addressed,High
hostel room door lock broken unsafe,High
wifi is a bit slow today,Low
internet speed slightly reduced,Low
fan making small noise,Low
minor water leakage near window,Low
small crack in wall,Low
mess food could be better,Low
suggestion for mess menu improvement,Low
kindly fix the tap when possible,Low
request to improve wifi speed,Low
feedback on library timings,Low
please look into broken bench in garden,Low
dustbin full in corridor kindly empty,Low
lights dim in study room,Low
ac temperature slightly warm,Low
suggestion to add more seating in canteen,Low
request for better sports facilities,Low
please improve cleaning schedule,Low
minor issue with water pressure,Low
fan speed slightly low,Low
request to extend library hours,Low
occasionally internet is slow,Low
sometimes power flickers briefly,Low
kindly update the notice board,Low
please provide more dustbins on campus,Low
request to repair broken bench,Low
slight delay in mess serving time,Low
please check the wifi router occasionally,Low
minor complaint about noise in corridor,Low
feedback about classroom temperature,Low
request to improve road in campus,Low
internet works but speed could be better,Low
mess food is okay but variety could improve,Low
kindly look into this small issue,Low
please fix this when convenient,Low
this is a small request,Low
not urgent but please address,Low
suggestion to improve campus lighting,Low
request for better water coolers,Low
feedback on hostel cleaning schedule,Low
please consider improving sports ground,Low
wifi has been down for 5 days now,High
no power in my room since yesterday night,High
dangerous exposed wire in bathroom,High
food has made multiple students sick,High
result not declared even after 2 months,High
scholarship rejected without any reason,High
professor giving zero marks without checking,High
water not available since 3 days,High
flooding in hostel room during rain,High
elevator not working for weeks,High
